0,C0178499,C0439673,C0701042,C0879526,C1317741
C0178499,0.0,0.002260738507912585,0.0,0.00046898815804900925,0.003898635477582846
C0439673,0.0009011715229798738,0.0,0.0,0.0008207292765857662,0.0
C0701042,0.0,0.0,0.0,0.0,0.0
C0879526,0.0012015620306398318,0.0052750565184626974,0.0,0.0,0.001949317738791423
C1317741,0.0006007810153199159,0.0,0.0,0.00011724703951225231,0.0
